date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time
2025-10-14,1626171.0,Bobby Portis,MIL,pts,OVER,19.5,475,0.17391304347826086,0.2682878071249343,0.09437476364667341,0.542654890968372,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,203932.0,Aaron Gordon,DEN,pts,OVER,24.5,1400,0.06666666666666667,0.16022997124423144,0.09356330457756477,1.4034495686634716,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,201142.0,Kevin Durant,PHX,pts,OVER,24.5,300,0.25,0.3405748518613867,0.0905748518613867,0.3622994074455468,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630596.0,Evan Mobley,CLE,pts,OVER,19.5,280,0.2631578947368421,0.35187734741823373,0.08871945268139164,0.3371339201892881,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,pts,OVER,9.5,-1000,0.9090909090909091,0.9976281319116406,0.08853722282073151,0.09739094510280463,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1626164.0,Devin Booker,PHX,pts,OVER,14.5,-410,0.803921568627451,0.8917971812123635,0.0878756125849125,0.10930868882513509,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,pts,OVER,9.5,-1000,0.9090909090909091,0.996457733915845,0.08736682482493596,0.09610350730742953,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1641739.0,Toumani Camara,POR,pts,OVER,19.5,975,0.09302325581395349,0.17998721520630379,0.0869639593923503,0.9348625634677656,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1628386.0,Jarrett Allen,CLE,pts,OVER,14.5,430,0.18867924528301888,0.2724462147399963,0.08376696945697742,0.44396493812198046,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,pts,OVER,9.5,-900,0.9,0.9784961152622811,0.07849611526228106,0.08721790584697897,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630596.0,Evan Mobley,CLE,pts,OVER,14.5,-115,0.5348837209302325,0.6127178365450492,0.07783411561481668,0.1455159552798746,bovada,Bovada,2025-10-14T23:00:00+00:00
