date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90
2026-03-26,,CHA,NYK,away,NYK,2000,1641794,Dillon Jones,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1641794,Dillon Jones,quarter,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1641794,Dillon Jones,quarter,q4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642359,Pacôme Dadiet,quarter,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642359,Pacôme Dadiet,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642359,Pacôme Dadiet,quarter,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642359,Pacôme Dadiet,quarter,q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642278,Tyler Kolek,quarter,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642278,Tyler Kolek,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642278,Tyler Kolek,quarter,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642278,Tyler Kolek,quarter,q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,DET,NOP,home,DET,2000,1629130,Duncan Robinson,quarter,q1,0.0,5.0,10.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,1629130,Duncan Robinson,quarter,q2,0.0,5.0,10.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,1629130,Duncan Robinson,quarter,q3,0.0,4.0,9.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,1629130,Duncan Robinson,quarter,q4,0.0,4.0,9.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,1631105,Jalen Duren,quarter,q1,0.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,DET,NOP,home,DET,2000,1631105,Jalen Duren,quarter,q2,0.0,4.0,9.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,DET,NOP,home,DET,2000,1631105,Jalen Duren,quarter,q3,0.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,DET,NOP,home,DET,2000,1631105,Jalen Duren,quarter,q4,0.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,DET,NOP,home,DET,2000,1642450,Daniss Jenkins,quarter,q1,0.0,4.0,9.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,1642450,Daniss Jenkins,quarter,q2,0.0,4.0,9.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,1642450,Daniss Jenkins,quarter,q3,0.0,4.0,8.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,1642450,Daniss Jenkins,quarter,q4,0.0,3.0,8.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,202699,Tobias Harris,quarter,q1,0.0,3.0,8.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0
2026-03-26,,DET,NOP,home,DET,2000,202699,Tobias Harris,quarter,q2,0.0,4.0,8.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0
