date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-21,1630549.0,Day'Ron Sharpe,BKN,pts,OVER,6.5,105,0.4878048780487805,0.7459980969838403,0.25819321893505986,0.5292960988168728,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1630572.0,Sandro Mamukelashvili,TOR,pts,OVER,7.5,-113,0.5305164319248826,0.7884499181345,0.2579334862096174,0.4861932085190134,draftkings,DraftKings,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,9.5,-110,0.5238095238095238,0.7807924317898991,0.25698290798037526,0.4906037334170801,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1626156.0,D'Angelo Russell,DAL,pts,OVER,14.5,125,0.4444444444444444,0.7012883682102905,0.2568439237658461,0.5778988284731537,bovada,Bovada,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1642345.0,Oso Ighodaro,PHX,pts,OVER,4.5,-140,0.5833333333333334,0.8401516738414694,0.256818340508136,0.44026001229966183,fanatics,Fanatics,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1628978.0,Donte DiVincenzo,MIN,pts,OVER,14.5,125,0.4444444444444444,0.7006009860652895,0.2561565416208451,0.5763522186469014,bovada,Bovada,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1630549.0,Day'Ron Sharpe,BKN,pts,OVER,6.5,104,0.49019607843137253,0.7459980969838403,0.2558020185524678,0.5218361178470343,betonlineag,BetOnline.ag,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1630572.0,Sandro Mamukelashvili,TOR,pts,OVER,7.5,-114,0.5327102803738317,0.7884499181345,0.2557396377606683,0.48007265334020177,betonlineag,BetOnline.ag,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,19.5,-135,0.574468085106383,0.8300175667815457,0.25554948167516267,0.4448453940271351,bovada,Bovada,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-117,0.5391705069124424,0.7941487665134963,0.2549782596010539,0.472908396012211,draftkings,DraftKings,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630568.0,Luka Garza,BOS,pts,OVER,8.5,105,0.4878048780487805,0.7426773950193026,0.25487251697052216,0.5224886597895704,fanatics,Fanatics,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,9.5,-111,0.5260663507109005,0.7807924317898991,0.25472608107899863,0.48420903700602447,draftkings,DraftKings,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1628983.0,Shai Gilgeous-Alexander,OKC,pts,UNDER,34.5,-220,0.6875,0.9411409976611196,0.2536409976611196,0.3689323602343557,bovada,Bovada,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1630572.0,Sandro Mamukelashvili,TOR,pts,OVER,7.5,-115,0.5348837209302325,0.7884499181345,0.25356619720426754,0.4740585425992827,fanatics,Fanatics,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-118,0.5412844036697247,0.7941487665134963,0.25286436284377156,0.467156195762222,williamhill_us,Caesars,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-118,0.5412844036697247,0.7941487665134963,0.25286436284377156,0.467156195762222,betmgm,BetMGM,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630549.0,Day'Ron Sharpe,BKN,pts,OVER,6.5,102,0.49504950495049505,0.7459980969838403,0.2509485920333453,0.5069161559073575,fanduel,FanDuel,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1626156.0,D'Angelo Russell,DAL,pts,OVER,13.5,102,0.49504950495049505,0.7458358519648575,0.2507863470143624,0.5065884209690121,williamhill_us,Caesars,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1630568.0,Luka Garza,BOS,pts,OVER,8.5,103,0.49261083743842365,0.7426773950193026,0.250066557580879,0.5076351118891843,betonlineag,BetOnline.ag,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1628378.0,Donovan Mitchell,CLE,pts,UNDER,28.5,-110,0.5238095238095238,0.7733417753416489,0.2495322515321251,0.47637975292496615,draftkings,DraftKings,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
2025-11-21,1630572.0,Sandro Mamukelashvili,TOR,pts,OVER,7.5,-118,0.5412844036697247,0.7884499181345,0.2471655144647753,0.45662781485865256,fanduel,FanDuel,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
