player,team,plays,ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Isaiah Hartenstein,OKC,[],[],"{'pts': 14.100713729858398, 'reb': 7.176031589508057, 'ast': 4.646440029144287, 'threes': 1.1248414516448977, 'pra': 25.923185348510746}",[],,,,[],0.0,0.0
Isaiah Joe,OKC,[],[],"{'pts': 12.238584518432615, 'reb': 2.191648483276367, 'ast': 1.6993433886736715, 'threes': 2.551932546827528, 'pra': 16.129576390382656}",[],,,,[],0.0,0.0
Isaiah Stevens,SAC,[],[],"{'pts': 12.713907241821287, 'reb': 3.5162501335144043, 'ast': 3.5210256576538086, 'threes': 1.5768334865570068, 'pra': 19.751183032989506}",[],,,,[],0.0,0.0
Isaiah Stewart,DET,[],[],"{'pts': 12.191123008728027, 'reb': 4.612399578094482, 'ast': 1.5472770929336548, 'threes': 0.6976887583732605, 'pra': 18.350799679756165}",[],,,,[],0.0,0.0
JD Davison,HOU,[],[],"{'pts': 10.888047218322754, 'reb': 4.089914321899414, 'ast': 2.4766907691955566, 'threes': 1.4882845878601074, 'pra': 17.454652309417725}",[],,,,[],0.0,0.0
Ja'Kobe Walter,TOR,[],[],"{'pts': 11.76030158996582, 'reb': 4.1853766441345215, 'ast': 2.31535005569458, 'threes': 1.2038555145263672, 'pra': 18.26102828979492}",[],,,,[],0.0,0.0
Jabari Smith Jr.,HOU,[],[],"{'pts': 6.355427976634289, 'reb': 6.421532543001134, 'ast': 0.8715337442698071, 'threes': 0.4956281449058692, 'pra': 13.648494263905231}",[],,,,[],0.0,0.0
Jahmai Mashack,MEM,[],[],"{'pts': 12.151944296700616, 'reb': 3.467557430267334, 'ast': 2.322184562683105, 'threes': 1.1917230784893036, 'pra': 17.941686289651052}",[],,,,[],0.0,0.0
Jakob Poeltl,TOR,[],[],"{'pts': 9.426275253295898, 'reb': 6.2681756019592285, 'ast': 1.8132165670394893, 'threes': 0.3937022089958191, 'pra': 17.507667422294617}",[],,,,[],0.0,0.0
Jalen Duren,DET,[],[],"{'pts': 16.653928756713867, 'reb': 7.673798561096191, 'ast': 2.031511783599853, 'threes': 0.9243901371955872, 'pra': 26.359239101409912}",[],,,,[],0.0,0.0
Jamal Murray,DEN,[],[],"{'pts': 21.09729486353257, 'reb': 5.490527135675603, 'ast': 7.052671432495117, 'threes': 1.719440821289842, 'pra': 33.64049343170329}",[],,,,[],0.0,0.0
Jamal Shead,TOR,[],[],"{'pts': 7.484043312072754, 'reb': 3.3695526123046875, 'ast': 3.858004093170166, 'threes': 0.8974553678686269, 'pra': 14.711600017547608}",[],,,,[],0.0,0.0
James Harden,CLE,[],[],"{'pts': 20.98686790466309, 'reb': 4.274306297302246, 'ast': 7.031589984893799, 'threes': 2.086103916168213, 'pra': 32.29276418685913}",[],,,,[],0.0,0.0
Jamison Battle,TOR,[],[],"{'pts': 9.822905540466309, 'reb': 4.091619491577148, 'ast': 1.9303852319717407, 'threes': 0.8092171549797058, 'pra': 15.844910264015198}",[],,,,[],0.0,0.0
