start,end,sort_by,top_n_per_day,top_n_per_game,min_ev,min_edge,bookmaker,dedupe_best_book,include_dd_td,include_stats,exclude_stats,bets_total,bets_graded,wins,losses,pushes,hit_rate,profit,roi_per_bet
2025-12-25,2026-01-23,edge,5,,,,,True,False,"pts,threes",,150,149,55,94,0,0.3691275167785235,1.217963582572537,0.00817425223203045
2025-12-25,2026-01-23,edge,5,,,0.02,,True,False,"pts,threes",,150,149,55,94,0,0.3691275167785235,1.217963582572537,0.00817425223203045
2025-12-25,2026-01-23,edge,5,,,0.04,,True,False,"pts,threes",,150,149,55,94,0,0.3691275167785235,1.217963582572537,0.00817425223203045
2025-12-25,2026-01-23,ev,8,,0.5,0.02,,True,False,"pts,threes",,209,205,70,135,0,0.34146341463414637,0.8299999999999947,0.004048780487804852
2025-12-25,2026-01-23,ev,8,,0.5,0.04,,True,False,"pts,threes",,209,205,70,135,0,0.34146341463414637,0.8299999999999947,0.004048780487804852
2025-12-25,2026-01-23,ev,8,,0.5,,,True,False,"pts,threes",,209,205,70,135,0,0.34146341463414637,0.8299999999999947,0.004048780487804852
2025-12-25,2026-01-23,ev,8,,,0.02,,True,False,"reb,threes",,240,234,85,149,0,0.36324786324786323,-0.5954205607476624,-0.002544532310887446
2025-12-25,2026-01-23,ev,8,,,,,True,False,"reb,threes",,240,234,85,149,0,0.36324786324786323,-0.5954205607476624,-0.002544532310887446
2025-12-25,2026-01-23,ev,8,,,0.04,,True,False,"reb,threes",,240,234,85,149,0,0.36324786324786323,-0.5954205607476624,-0.002544532310887446
2025-12-25,2026-01-23,ev,12,,,0.04,,True,False,"pts,threes",,357,350,124,226,0,0.35428571428571426,-0.6538820992092065,-0.0018682345691691613
2025-12-25,2026-01-23,ev,12,,,0.02,,True,False,"pts,threes",,360,353,125,228,0,0.35410764872521244,-1.0538820992092015,-0.0029855016974764917
2025-12-25,2026-01-23,ev,12,,,,,True,False,"pts,threes",,360,353,125,228,0,0.35410764872521244,-1.0538820992092015,-0.0029855016974764917
2025-12-25,2026-01-23,edge,8,,,0.02,,True,False,threes,,240,236,93,143,0,0.3940677966101695,-1.5570340990966365,-0.0065976021148162565
2025-12-25,2026-01-23,edge,8,,,0.04,,True,False,threes,,240,236,93,143,0,0.3940677966101695,-1.5570340990966365,-0.0065976021148162565
2025-12-25,2026-01-23,edge,8,,,,,True,False,threes,,240,236,93,143,0,0.3940677966101695,-1.5570340990966365,-0.0065976021148162565
2025-12-25,2026-01-23,ev,8,,,0.04,,True,False,threes,,240,237,89,148,0,0.3755274261603376,-1.7431182029113295,-0.007354929126208141
2025-12-25,2026-01-23,ev,8,,,,,True,False,threes,,240,237,89,148,0,0.3755274261603376,-1.7431182029113295,-0.007354929126208141
2025-12-25,2026-01-23,ev,8,,,0.02,,True,False,threes,,240,237,89,148,0,0.3755274261603376,-1.7431182029113295,-0.007354929126208141
2025-12-25,2026-01-23,ev,12,,,,,True,False,threes,,357,348,136,212,0,0.39080459770114945,-2.202565234627775,-0.006329210444332686
2025-12-25,2026-01-23,ev,12,,,0.02,,True,False,threes,,356,347,135,212,0,0.38904899135446686,-3.002565234627779,-0.008652925748206856
2025-12-25,2026-01-23,ev,12,,,0.04,,True,False,threes,,354,345,134,211,0,0.3884057971014493,-3.602565234627777,-0.010442218071384861
2025-12-25,2026-01-23,ev,8,,0.5,0.04,,True,False,,,215,210,71,139,0,0.3380952380952381,-4.860000000000003,-0.023142857142857156
2025-12-25,2026-01-23,ev,8,,0.5,,,True,False,,,215,210,71,139,0,0.3380952380952381,-4.860000000000003,-0.023142857142857156
2025-12-25,2026-01-23,ev,8,,0.5,0.02,,True,False,,,215,210,71,139,0,0.3380952380952381,-4.860000000000003,-0.023142857142857156
2025-12-25,2026-01-23,ev,8,,,,,True,False,,,240,235,81,154,0,0.3446808510638298,-5.010000000000005,-0.021319148936170235
2025-12-25,2026-01-23,ev,8,,,0.02,,True,False,,,240,235,81,154,0,0.3446808510638298,-5.010000000000005,-0.021319148936170235
2025-12-25,2026-01-23,ev,8,,,0.04,,True,False,,,240,235,81,154,0,0.3446808510638298,-5.010000000000005,-0.021319148936170235
2025-12-25,2026-01-23,ev,8,,,0.02,,True,False,"pts,threes",,240,236,80,156,0,0.3389830508474576,-5.350000000000005,-0.02266949152542375
2025-12-25,2026-01-23,ev,8,,,0.04,,True,False,"pts,threes",,240,236,80,156,0,0.3389830508474576,-5.350000000000005,-0.02266949152542375
2025-12-25,2026-01-23,ev,8,,,,,True,False,"pts,threes",,240,236,80,156,0,0.3389830508474576,-5.350000000000005,-0.02266949152542375
2025-12-25,2026-01-23,ev,5,,,,,True,False,threes,,150,149,51,98,0,0.3422818791946309,-5.8599999999999985,-0.03932885906040268
2025-12-25,2026-01-23,ev,5,,,0.04,,True,False,threes,,150,149,51,98,0,0.3422818791946309,-5.8599999999999985,-0.03932885906040268
2025-12-25,2026-01-23,ev,5,,,0.02,,True,False,threes,,150,149,51,98,0,0.3422818791946309,-5.8599999999999985,-0.03932885906040268
2025-12-25,2026-01-23,ev,8,,0.5,,,True,False,"pts,reb,threes",,210,206,67,139,0,0.32524271844660196,-9.440000000000001,-0.04582524271844661
2025-12-25,2026-01-23,ev,8,,0.5,0.04,,True,False,"pts,reb,threes",,210,206,67,139,0,0.32524271844660196,-9.440000000000001,-0.04582524271844661
2025-12-25,2026-01-23,ev,8,,0.5,0.02,,True,False,"pts,reb,threes",,210,206,67,139,0,0.32524271844660196,-9.440000000000001,-0.04582524271844661
2025-12-25,2026-01-23,ev,8,,,,,True,False,"pts,reb,threes",,240,236,79,157,0,0.3347457627118644,-10.630000000000003,-0.045042372881355944
2025-12-25,2026-01-23,ev,8,,,0.02,,True,False,"pts,reb,threes",,240,236,79,157,0,0.3347457627118644,-10.630000000000003,-0.045042372881355944
2025-12-25,2026-01-23,ev,8,,,0.04,,True,False,"pts,reb,threes",,240,236,79,157,0,0.3347457627118644,-10.630000000000003,-0.045042372881355944
